dataset,object,descriptor,category,time
RippledObjectsDataset,0093,QUICCI,0.005,0.027859309
RippledObjectsDataset,0093,RICI,0.005,0.024154473
RippledObjectsDataset,0093,SI,0.005,0.156176938
RippledObjectsDataset,0094,3DSC,0.005,1.748486043
RippledObjectsDataset,0094,FPFH,0.005,1.291981643
RippledObjectsDataset,0094,QUICCI,0.005,0.032458415
RippledObjectsDataset,0094,RICI,0.005,0.026146212
RippledObjectsDataset,0094,SI,0.005,0.205638995
RippledObjectsDataset,0095,3DSC,0.005,1.926465538
RippledObjectsDataset,0095,FPFH,0.005,3.186022576
RippledObjectsDataset,0095,QUICCI,0.005,0.040666276
RippledObjectsDataset,0095,RICI,0.005,0.022924065
RippledObjectsDataset,0095,SI,0.005,0.268172806
RippledObjectsDataset,0096,3DSC,0.005,1.105122778
RippledObjectsDataset,0096,FPFH,0.005,2.266942104
RippledObjectsDataset,0096,QUICCI,0.005,0.020923757
RippledObjectsDataset,0096,RICI,0.005,0.0179687
RippledObjectsDataset,0096,SI,0.005,0.147555558
RippledObjectsDataset,0097,3DSC,0.005,1.583853683
RippledObjectsDataset,0097,FPFH,0.005,3.35554065
