object,descriptor,supportRadius,similarity,tdOne,tdTwo,tSim
0006,SI,50.000000,0.000152,0.066613,0.102442,0.112381
0006,3DSC,0.050000,0.003726,0.858218,0.392657,2.470216
0006,3DSC,0.100000,0.003280,0.373677,0.528637,2.091645
0006,3DSC,0.500000,0.110088,0.363614,0.155048,1.838879
0006,3DSC,1.000000,0.110088,0.368646,0.150543,1.835894
0006,3DSC,1.500000,0.110088,0.368347,0.152529,1.838264
0006,3DSC,2.000000,0.110088,0.377170,0.153734,1.834960
0006,3DSC,5.000000,0.110088,0.371465,0.157092,1.829374
0006,3DSC,10.000000,0.110088,0.372985,0.149073,1.835643
0006,3DSC,50.000000,0.110088,0.370688,0.152166,1.829493
0006,FPFH,0.050000,0.000156,2.832798,1.699715,0.065574
0006,FPFH,0.100000,0.000149,3.931139,2.991711,0.065726
0006,FPFH,0.500000,0.000141,3.922048,4.279687,0.066335
0006,FPFH,1.000000,0.000141,3.908835,4.324053,0.064843
0006,FPFH,1.500000,0.000141,3.957580,4.342003,0.065046
0006,FPFH,2.000000,0.000141,4.024993,4.279283,0.065124
0006,FPFH,5.000000,0.000141,3.942104,4.289768,0.069579
0006,FPFH,10.000000,0.000141,3.968954,4.282948,0.065941
0006,FPFH,50.000000,0.000141,3.990618,4.253250,0.065337
0007,RICI,0.050000,0.002674,0.001358,0.010523,0.020589
0007,RICI,0.100000,0.002235,0.001423,0.010147,0.021144
0007,RICI,0.500000,0.002309,0.001135,0.009402,0.020485
0007,RICI,1.000000,0.004365,0.001117,0.009085,0.018005
0007,RICI,1.500000,0.006489,0.001087,0.009201,0.017363
0007,RICI,2.000000,0.008427,0.001089,0.009183,0.016906
0007,RICI,5.000000,0.022295,0.001076,0.009121,0.016984
0007,RICI,10.000000,0.068911,0.001079,0.009042,0.016913
0007,RICI,50.000000,0.111045,0.001071,0.009107,0.016812
0007,QUICCI,0.050000,0.000000,0.001603,0.016320,0.009480
0007,QUICCI,0.100000,0.000000,0.001541,0.011531,0.009566
0007,QUICCI,0.500000,0.000000,0.001458,0.012015,0.009513
0007,QUICCI,1.000000,0.000000,0.001318,0.010559,0.009447
0007,QUICCI,1.500000,0.000000,0.001304,0.010505,0.009521
0007,QUICCI,2.000000,0.000000,0.001298,0.010482,0.009494
0007,QUICCI,5.000000,0.004339,0.001392,0.010277,0.009426
0007,QUICCI,10.000000,0.048718,0.001286,0.010415,0.009326
0007,QUICCI,50.000000,0.111045,0.001284,0.010414,0.009423
0007,SI,0.050000,0.002563,0.008557,0.026606,0.017423
0007,SI,0.100000,0.001672,0.009003,0.029853,0.017308
0007,SI,0.500000,0.000632,0.018049,0.052933,0.017222
0007,SI,1.000000,0.000439,0.022832,0.066677,0.017057
0007,SI,1.500000,0.000393,0.023975,0.076852,0.016826
0007,SI,2.000000,0.000369,0.025721,0.084709,0.016967
0007,SI,5.000000,0.000328,0.028988,0.103254,0.016915
0007,SI,10.000000,0.000297,0.030891,0.114851,0.016637
0007,SI,50.000000,0.000315,0.030461,0.120260,0.016649
0007,3DSC,0.050000,0.003709,0.105365,0.057362,0.341183
0007,3DSC,0.100000,0.002647,0.107198,0.075347,0.351963
0007,3DSC,0.500000,0.074205,0.086836,0.070170,0.270793
0007,3DSC,1.000000,0.111045,0.085064,0.041698,0.267835
0007,3DSC,1.500000,0.111045,0.087553,0.041554,0.269676
0007,3DSC,2.000000,0.111045,0.084326,0.041557,0.269822
0007,3DSC,5.000000,0.111045,0.085434,0.047638,0.270668
0007,3DSC,10.000000,0.111045,0.092746,0.046341,0.269941
0007,3DSC,50.000000,0.111045,0.093187,0.046413,0.270606
0007,FPFH,0.050000,0.000142,0.439014,0.775363,0.009425
0007,FPFH,0.100000,0.000278,0.647012,0.831814,0.009619
0007,FPFH,0.500000,0.000344,1.323453,2.103328,0.009458
0007,FPFH,1.000000,0.000345,1.280839,2.386443,0.009551
0007,FPFH,1.500000,0.000345,1.324907,2.447634,0.009574
0007,FPFH,2.000000,0.000345,1.323079,2.363437,0.009462
0007,FPFH,5.000000,0.000345,1.307105,2.421030,0.009316
0007,FPFH,10.000000,0.000345,1.335117,2.449262,0.009174
0007,FPFH,50.000000,0.000345,1.322769,2.588701,0.009369
0008,RICI,0.050000,0.002185,0.086468,1.226153,0.251354
0008,RICI,0.100000,0.001774,0.085503,1.173788,0.258128
0008,RICI,0.500000,0.001364,0.080251,1.070413,0.242003
0008,RICI,1.000000,0.002445,0.073589,1.080385,0.212391
0008,RICI,1.500000,0.003658,0.073777,1.078448,0.206328
0008,RICI,2.000000,0.004801,0.073401,1.071593,0.203590
0008,RICI,5.000000,0.011859,0.073426,1.059925,0.202875
0008,RICI,10.000000,0.051789,0.073193,1.057565,0.199076
0008,RICI,50.000000,0.116642,0.073480,1.072620,0.200032
0008,QUICCI,0.050000,0.000000,0.085659,1.153023,0.096805
0008,QUICCI,0.100000,0.000000,0.087450,1.142360,0.098957
0008,QUICCI,0.500000,0.000000,0.078077,1.163848,0.100171
0008,QUICCI,1.000000,0.000000,0.082747,1.108260,0.093824
0008,QUICCI,1.500000,0.000000,0.077840,1.158032,0.096869
0008,QUICCI,2.000000,0.000000,0.086739,1.134989,0.090951
0008,QUICCI,5.000000,0.000000,0.077605,1.075921,0.092535
0008,QUICCI,10.000000,0.034655,0.085885,1.108749,0.094371
0008,QUICCI,50.000000,0.116642,0.085351,1.107994,0.090802
0008,SI,0.050000,0.002602,0.095058,0.271144,0.201213
0008,SI,0.100000,0.001318,0.108548,0.408669,0.205366
0008,SI,0.500000,0.000202,0.168687,0.404992,0.213558
0008,SI,1.000000,0.000128,0.184334,0.380830,0.213669
0008,SI,1.500000,0.000110,0.210979,0.389009,0.205787
0008,SI,2.000000,0.000099,0.209876,0.418075,0.203672
0008,SI,5.000000,0.000078,0.248234,0.421055,0.202976
0008,SI,10.000000,0.000065,0.272422,0.419570,0.190657
0008,SI,50.000000,0.000056,0.257191,0.459626,0.192599
0008,3DSC,0.050000,0.004253,0.175916,0.377242,3.656776
0008,3DSC,0.100000,0.002775,0.239117,0.585008,3.868366
0008,3DSC,0.500000,0.039958,0.091085,0.384309,2.889620
0008,3DSC,1.000000,0.116642,0.091576,0.195905,2.855158
0008,3DSC,1.500000,0.116642,0.093288,0.192972,2.845882
0008,3DSC,2.000000,0.116642,0.101508,0.191215,2.850717
0008,3DSC,5.000000,0.116642,0.091599,0.191762,2.822225
0008,3DSC,10.000000,0.116642,0.091119,0.191472,2.855220
0008,3DSC,50.000000,0.116642,0.093967,0.196465,2.835156
0008,FPFH,0.050000,0.000131,1.784710,6.070849,0.096327
0008,FPFH,0.100000,0.000260,2.114285,6.570844,0.097405
0008,FPFH,0.500000,0.000441,5.333468,17.869781,0.097545
