dataset,object,descriptor,category,distanceFunction,similarity
OverlappingObjects,0121,SI,15.1-25.0,Cosine,0.427466
OverlappingObjects,0121,SI,15.1-25.0,Pearson,0.711240
OverlappingObjects,0122,SI,15.1-25.0,Cosine,0.471519
OverlappingObjects,0122,SI,15.1-25.0,Pearson,0.704806
OverlappingObjects,0123,SI,15.1-25.0,Cosine,0.698930
OverlappingObjects,0123,SI,15.1-25.0,Pearson,0.597071
OverlappingObjects,0124,SI,15.1-25.0,Cosine,0.473993
OverlappingObjects,0124,SI,15.1-25.0,Pearson,0.689975
OverlappingObjects,0125,SI,15.1-25.0,Cosine,0.616665
OverlappingObjects,0125,SI,15.1-25.0,Pearson,0.630565
OverlappingObjects,0126,SI,15.1-25.0,Cosine,0.432552
OverlappingObjects,0126,SI,15.1-25.0,Pearson,0.720149
OverlappingObjects,0127,SI,15.1-25.0,Cosine,0.425609
OverlappingObjects,0127,SI,15.1-25.0,Pearson,0.716762
OverlappingObjects,0128,SI,15.1-25.0,Cosine,0.418825
OverlappingObjects,0128,SI,15.1-25.0,Pearson,0.731853
OverlappingObjects,0129,SI,15.1-25.0,Cosine,0.591335
OverlappingObjects,0129,SI,15.1-25.0,Pearson,0.642575
OverlappingObjects,0130,SI,15.1-25.0,Cosine,0.717375
OverlappingObjects,0130,SI,15.1-25.0,Pearson,0.590150
OverlappingObjects,0131,SI,15.1-25.0,Cosine,0.711476
OverlappingObjects,0131,SI,15.1-25.0,Pearson,0.593398
OverlappingObjects,0132,SI,15.1-25.0,Cosine,0.689805
OverlappingObjects,0132,SI,15.1-25.0,Pearson,0.601497
OverlappingObjects,0133,SI,15.1-25.0,Cosine,0.675472
OverlappingObjects,0133,SI,15.1-25.0,Pearson,0.607604
OverlappingObjects,0134,SI,15.1-25.0,Cosine,0.734594
OverlappingObjects,0134,SI,15.1-25.0,Pearson,0.584166
OverlappingObjects,0135,SI,15.1-25.0,Cosine,0.613809
OverlappingObjects,0135,SI,15.1-25.0,Pearson,0.629478
OverlappingObjects,0136,SI,15.1-25.0,Cosine,0.581923
OverlappingObjects,0136,SI,15.1-25.0,Pearson,0.653852
OverlappingObjects,0137,SI,15.1-25.0,Cosine,0.438151
OverlappingObjects,0137,SI,15.1-25.0,Pearson,0.718518
OverlappingObjects,0138,SI,15.1-25.0,Cosine,0.780837
OverlappingObjects,0138,SI,15.1-25.0,Pearson,0.572284
OverlappingObjects,0139,SI,15.1-25.0,Cosine,0.695172
OverlappingObjects,0139,SI,15.1-25.0,Pearson,0.598946
OverlappingObjects,0140,SI,15.1-25.0,Cosine,0.673753
OverlappingObjects,0140,SI,15.1-25.0,Pearson,0.608608
OverlappingObjects,0141,SI,15.1-25.0,Cosine,0.648493
OverlappingObjects,0141,SI,15.1-25.0,Pearson,0.624737
OverlappingObjects,0142,SI,15.1-25.0,Cosine,0.675195
OverlappingObjects,0142,SI,15.1-25.0,Pearson,0.612508
OverlappingObjects,0143,SI,15.1-25.0,Cosine,0.656528
OverlappingObjects,0143,SI,15.1-25.0,Pearson,0.615692
OverlappingObjects,0144,SI,15.1-25.0,Cosine,0.646662
OverlappingObjects,0144,SI,15.1-25.0,Pearson,0.622274
OverlappingObjects,0145,SI,15.1-25.0,Cosine,0.447462
OverlappingObjects,0145,SI,15.1-25.0,Pearson,0.713110
OverlappingObjects,0146,SI,15.1-25.0,Cosine,0.576867
OverlappingObjects,0146,SI,15.1-25.0,Pearson,0.650183
OverlappingObjects,0147,SI,15.1-25.0,Cosine,0.438169
OverlappingObjects,0147,SI,15.1-25.0,Pearson,0.709440
OverlappingObjects,0148,SI,15.1-25.0,Cosine,0.604541
OverlappingObjects,0148,SI,15.1-25.0,Pearson,0.637106
OverlappingObjects,0149,SI,15.1-25.0,Cosine,0.413396
OverlappingObjects,0149,SI,15.1-25.0,Pearson,0.727231
OverlappingObjects,0150,SI,15.1-25.0,Cosine,0.565726
OverlappingObjects,0150,SI,15.1-25.0,Pearson,0.652802
OverlappingObjects,0151,SI,15.1-25.0,Cosine,0.663408
OverlappingObjects,0151,SI,15.1-25.0,Pearson,0.608858
OverlappingObjects,0152,SI,15.1-25.0,Cosine,0.566911
OverlappingObjects,0152,SI,15.1-25.0,Pearson,0.648613
OverlappingObjects,0153,SI,15.1-25.0,Cosine,0.555055
OverlappingObjects,0153,SI,15.1-25.0,Pearson,0.659629
OverlappingObjects,0154,SI,15.1-25.0,Cosine,0.631254
OverlappingObjects,0154,SI,15.1-25.0,Pearson,0.625661
OverlappingObjects,0155,SI,15.1-25.0,Cosine,0.486958
OverlappingObjects,0155,SI,15.1-25.0,Pearson,0.689511
OverlappingObjects,0156,SI,15.1-25.0,Cosine,0.699151
OverlappingObjects,0156,SI,15.1-25.0,Pearson,0.597950
OverlappingObjects,0157,SI,15.1-25.0,Cosine,0.654508
OverlappingObjects,0157,SI,15.1-25.0,Pearson,0.615212
OverlappingObjects,0158,SI,15.1-25.0,Cosine,0.680207
OverlappingObjects,0158,SI,15.1-25.0,Pearson,0.606060
OverlappingObjects,0159,SI,15.1-25.0,Cosine,0.685764
OverlappingObjects,0159,SI,15.1-25.0,Pearson,0.601369
OverlappingObjects,0160,SI,15.1-25.0,Cosine,0.655123
OverlappingObjects,0160,SI,15.1-25.0,Pearson,0.616290
OverlappingObjects,0161,SI,15.1-25.0,Cosine,0.606897
OverlappingObjects,0161,SI,15.1-25.0,Pearson,0.635495
OverlappingObjects,0162,SI,15.1-25.0,Cosine,0.679239
OverlappingObjects,0162,SI,15.1-25.0,Pearson,0.606010
OverlappingObjects,0163,SI,15.1-25.0,Cosine,0.658584
OverlappingObjects,0163,SI,15.1-25.0,Pearson,0.619352
OverlappingObjects,0164,SI,15.1-25.0,Cosine,0.708167
OverlappingObjects,0164,SI,15.1-25.0,Pearson,0.595229
OverlappingObjects,0165,SI,15.1-25.0,Cosine,0.645787
OverlappingObjects,0165,SI,15.1-25.0,Pearson,0.621588
OverlappingObjects,0166,SI,15.1-25.0,Cosine,0.567862
OverlappingObjects,0166,SI,15.1-25.0,Pearson,0.655180
OverlappingObjects,0167,SI,15.1-25.0,Cosine,0.721337
OverlappingObjects,0167,SI,15.1-25.0,Pearson,0.590881
OverlappingObjects,0168,SI,15.1-25.0,Cosine,0.620089
OverlappingObjects,0168,SI,15.1-25.0,Pearson,0.628301
OverlappingObjects,0169,SI,15.1-25.0,Cosine,0.730980
OverlappingObjects,0169,SI,15.1-25.0,Pearson,0.586014
OverlappingObjects,0170,SI,15.1-25.0,Cosine,0.635721
OverlappingObjects,0170,SI,15.1-25.0,Pearson,0.625703
OverlappingObjects,0171,SI,15.1-25.0,Cosine,0.723026
OverlappingObjects,0171,SI,15.1-25.0,Pearson,0.588740
OverlappingObjects,0172,SI,15.1-25.0,Cosine,0.640105
OverlappingObjects,0172,SI,15.1-25.0,Pearson,0.621871
OverlappingObjects,0173,SI,15.1-25.0,Cosine,0.525173
OverlappingObjects,0173,SI,15.1-25.0,Pearson,0.676568
OverlappingObjects,0174,SI,15.1-25.0,Cosine,0.437966
OverlappingObjects,0174,SI,15.1-25.0,Pearson,0.709522
OverlappingObjects,0175,SI,15.1-25.0,Cosine,0.679238
OverlappingObjects,0175,SI,15.1-25.0,Pearson,0.605309
OverlappingObjects,0176,SI,15.1-25.0,Cosine,0.526922
OverlappingObjects,0176,SI,15.1-25.0,Pearson,0.675549
OverlappingObjects,0177,SI,15.1-25.0,Cosine,0.610424
OverlappingObjects,0177,SI,15.1-25.0,Pearson,0.630755
OverlappingObjects,0178,SI,15.1-25.0,Cosine,0.445760
OverlappingObjects,0178,SI,15.1-25.0,Pearson,0.709582
OverlappingObjects,0179,SI,15.1-25.0,Cosine,0.716857
OverlappingObjects,0179,SI,15.1-25.0,Pearson,0.591224
OverlappingObjects,0180,SI,15.1-25.0,Cosine,0.515679
OverlappingObjects,0180,SI,15.1-25.0,Pearson,0.673155
OverlappingObjects,0181,SI,15.1-25.0,Cosine,0.441358
OverlappingObjects,0181,SI,15.1-25.0,Pearson,0.708904
OverlappingObjects,0182,SI,15.1-25.0,Cosine,0.481135
OverlappingObjects,0182,SI,15.1-25.0,Pearson,0.686710
OverlappingObjects,0183,SI,15.1-25.0,Cosine,0.675725
OverlappingObjects,0183,SI,15.1-25.0,Pearson,0.603864
OverlappingObjects,0184,SI,15.1-25.0,Cosine,0.411000
OverlappingObjects,0184,SI,15.1-25.0,Pearson,0.725382
OverlappingObjects,0185,SI,15.1-25.0,Cosine,0.599088
OverlappingObjects,0185,SI,15.1-25.0,Pearson,0.636570
OverlappingObjects,0186,SI,15.1-25.0,Cosine,0.558945
OverlappingObjects,0186,SI,15.1-25.0,Pearson,0.657214
OverlappingObjects,0187,SI,15.1-25.0,Cosine,0.659482
OverlappingObjects,0187,SI,15.1-25.0,Pearson,0.610553
OverlappingObjects,0188,SI,15.1-25.0,Cosine,0.393370
OverlappingObjects,0188,SI,15.1-25.0,Pearson,0.730509
OverlappingObjects,0189,SI,15.1-25.0,Cosine,0.682852
