dataset,object,descriptor,category,distanceFunction,time,similarity
GoogleDataset,0028,RICI,0-100,Cosine,1.558623023,1.0
GoogleDataset,0028,RICI,0-100,Euclidian,0.878738907,1.0
GoogleDataset,0028,SI,0-100,Cosine,1.347277746,0.9999999999999998
GoogleDataset,0028,SI,0-100,Euclidian,0.842844345,0.9999391191061712
GoogleDataset,0029,3DSC,0-100,Cosine,0.866886091,0.7591214042826946
GoogleDataset,0029,3DSC,0-100,Euclidian,0.481652865,1.0
GoogleDataset,0029,FPFH,0-100,Cosine,0.024047416,1.0
GoogleDataset,0029,FPFH,0-100,Euclidian,0.017531581,1.0
GoogleDataset,0029,QUICCI,0-100,Cosine,0.026463891,1.0
GoogleDataset,0029,QUICCI,0-100,Euclidian,0.018254544,1.0
GoogleDataset,0029,RICI,0-100,Cosine,0.493582232,1.0
GoogleDataset,0029,RICI,0-100,Euclidian,0.276285645,1.0
GoogleDataset,0029,SI,0-100,Cosine,0.426292968,0.999999999999997
GoogleDataset,0029,SI,0-100,Euclidian,0.263767439,0.9996302409568397
GoogleDataset,0030,3DSC,0-100,Cosine,1.791358825,0.8595138525875589
GoogleDataset,0030,3DSC,0-100,Euclidian,0.998271974,1.0
GoogleDataset,0030,FPFH,0-100,Cosine,0.050367885,1.0
GoogleDataset,0030,FPFH,0-100,Euclidian,0.036765111,1.0
GoogleDataset,0030,QUICCI,0-100,Cosine,0.054844196,1.0
GoogleDataset,0030,QUICCI,0-100,Euclidian,0.03871266,1.0
GoogleDataset,0030,RICI,0-100,Cosine,1.011906857,1.0
GoogleDataset,0030,RICI,0-100,Euclidian,0.570835952,1.0
GoogleDataset,0030,SI,0-100,Cosine,0.879123802,0.9999999999999999
GoogleDataset,0030,SI,0-100,Euclidian,0.546154514,0.9999516297193252
GoogleDataset,0031,3DSC,0-100,Cosine,0.179751568,0.9982245894363071
GoogleDataset,0031,3DSC,0-100,Euclidian,0.099865599,1.0
GoogleDataset,0031,FPFH,0-100,Cosine,0.005045062,1.0
GoogleDataset,0031,FPFH,0-100,Euclidian,0.003710285,1.0
GoogleDataset,0031,QUICCI,0-100,Cosine,0.005545455,1.0
GoogleDataset,0031,QUICCI,0-100,Euclidian,0.003820286,1.0
GoogleDataset,0031,RICI,0-100,Cosine,0.101026599,1.0
GoogleDataset,0031,RICI,0-100,Euclidian,0.056552226,1.0
GoogleDataset,0031,SI,0-100,Cosine,0.086779618,0.9980026631157831
GoogleDataset,0031,SI,0-100,Euclidian,0.053666989,0.9984362863341361
GoogleDataset,0032,3DSC,0-100,Cosine,0.13733939,0.999999999999979
GoogleDataset,0032,3DSC,0-100,Euclidian,0.07658282,0.9999991404947567
GoogleDataset,0032,FPFH,0-100,Cosine,0.003783433,1.0
GoogleDataset,0032,FPFH,0-100,Euclidian,0.002768362,1.0
GoogleDataset,0032,QUICCI,0-100,Cosine,0.003988168,1.0
GoogleDataset,0032,QUICCI,0-100,Euclidian,0.002695647,1.0
GoogleDataset,0032,RICI,0-100,Cosine,0.077273788,1.0
GoogleDataset,0032,RICI,0-100,Euclidian,0.042702493,1.0
GoogleDataset,0032,SI,0-100,Cosine,0.065656069,0.9982608695651888
GoogleDataset,0032,SI,0-100,Euclidian,0.0407658,0.9990833043915018
GoogleDataset,0033,3DSC,0-100,Cosine,0.479655877,0.9915338645418327
GoogleDataset,0033,3DSC,0-100,Euclidian,0.266212356,1.0
GoogleDataset,0033,FPFH,0-100,Cosine,0.013339163,1.0
GoogleDataset,0033,FPFH,0-100,Euclidian,0.00975321,1.0
GoogleDataset,0033,QUICCI,0-100,Cosine,0.014471799,1.0
GoogleDataset,0033,QUICCI,0-100,Euclidian,0.009892644,1.0
GoogleDataset,0033,RICI,0-100,Cosine,0.269922688,1.0
GoogleDataset,0033,RICI,0-100,Euclidian,0.150292996,1.0
GoogleDataset,0033,SI,0-100,Cosine,0.231315435,0.9977589641434086
GoogleDataset,0033,SI,0-100,Euclidian,0.143838273,0.9992245342010729
GoogleDataset,0034,3DSC,0-100,Cosine,0.893806518,0.0
GoogleDataset,0034,3DSC,0-100,Euclidian,0.497904904,1.0
GoogleDataset,0034,FPFH,0-100,Cosine,0.025143265,1.0
GoogleDataset,0034,FPFH,0-100,Euclidian,0.018361599,1.0
GoogleDataset,0034,QUICCI,0-100,Cosine,0.026998405,0.9953401271666231
GoogleDataset,0034,QUICCI,0-100,Euclidian,0.018777501,1.0
GoogleDataset,0034,RICI,0-100,Cosine,0.498569817,0.9953401271666231
GoogleDataset,0034,RICI,0-100,Euclidian,0.285066292,1.0
GoogleDataset,0034,SI,0-100,Cosine,0.434511489,0.9999999999999927
GoogleDataset,0034,SI,0-100,Euclidian,0.269244404,0.9995055953213654
GoogleDataset,0035,3DSC,0-100,Cosine,0.395795466,0.0
GoogleDataset,0035,3DSC,0-100,Euclidian,0.222342628,1.0
GoogleDataset,0035,FPFH,0-100,Cosine,0.011268874,1.0
GoogleDataset,0035,FPFH,0-100,Euclidian,0.008350236,1.0
GoogleDataset,0035,QUICCI,0-100,Cosine,0.012000352,1.0
GoogleDataset,0035,QUICCI,0-100,Euclidian,0.00835263,1.0
GoogleDataset,0035,RICI,0-100,Cosine,0.221602109,1.0
GoogleDataset,0035,RICI,0-100,Euclidian,0.127469474,1.0
GoogleDataset,0035,SI,0-100,Cosine,0.192412276,0.9988172678887377
GoogleDataset,0035,SI,0-100,Euclidian,0.117620266,0.9973254200643294
GoogleDataset,0036,3DSC,0-100,Cosine,0.565485154,0.5637317453565859
GoogleDataset,0036,3DSC,0-100,Euclidian,0.311884413,1.0
GoogleDataset,0036,FPFH,0-100,Cosine,0.015598483,1.0
GoogleDataset,0036,FPFH,0-100,Euclidian,0.011525374,1.0
GoogleDataset,0036,QUICCI,0-100,Cosine,0.0169678,1.0
GoogleDataset,0036,QUICCI,0-100,Euclidian,0.011881781,1.0
GoogleDataset,0036,RICI,0-100,Cosine,0.315530382,1.0
GoogleDataset,0036,RICI,0-100,Euclidian,0.178781771,1.0
GoogleDataset,0036,SI,0-100,Cosine,0.274474689,0.9982985963419229
GoogleDataset,0036,SI,0-100,Euclidian,0.169959996,0.9976783322835001
GoogleDataset,0037,3DSC,0-100,Cosine,1.781093162,0.6505807582730659
GoogleDataset,0037,3DSC,0-100,Euclidian,0.994724499,1.0
GoogleDataset,0037,FPFH,0-100,Cosine,0.049573549,1.0
GoogleDataset,0037,FPFH,0-100,Euclidian,0.036467389,1.0
GoogleDataset,0037,QUICCI,0-100,Cosine,0.054492652,1.0
GoogleDataset,0037,QUICCI,0-100,Euclidian,0.037917159,1.0
GoogleDataset,0037,RICI,0-100,Cosine,1.017284154,1.0
GoogleDataset,0037,RICI,0-100,Euclidian,0.565112123,1.0
GoogleDataset,0037,SI,0-100,Cosine,0.873726957,0.9999999999999993
