dataset,object,descriptor,category,distanceFunction,similarity,time
OverlappingObjects,0107,SI,15.1-25.0,Pearson,0.664897,0.000356
OverlappingObjects,0108,SI,15.1-25.0,Cosine,0.683950,0.001680
OverlappingObjects,0108,SI,15.1-25.0,Pearson,0.680310,0.000480
OverlappingObjects,0109,SI,15.1-25.0,Cosine,0.483454,0.000633
OverlappingObjects,0109,SI,15.1-25.0,Pearson,0.479857,0.000261
OverlappingObjects,0110,SI,15.1-25.0,Cosine,0.751008,0.000854
OverlappingObjects,0110,SI,15.1-25.0,Pearson,0.748941,0.000302
OverlappingObjects,0111,SI,15.1-25.0,Cosine,0.615435,0.001054
OverlappingObjects,0111,SI,15.1-25.0,Pearson,0.613383,0.000405
OverlappingObjects,0112,SI,15.1-25.0,Cosine,0.737330,0.003354
OverlappingObjects,0112,SI,15.1-25.0,Pearson,0.734585,0.000882
OverlappingObjects,0113,SI,15.1-25.0,Cosine,0.728978,0.001204
OverlappingObjects,0113,SI,15.1-25.0,Pearson,0.726343,0.000381
OverlappingObjects,0114,SI,15.1-25.0,Cosine,0.670836,0.000797
OverlappingObjects,0114,SI,15.1-25.0,Pearson,0.668794,0.000303
OverlappingObjects,0115,SI,15.1-25.0,Cosine,0.531098,0.000452
OverlappingObjects,0115,SI,15.1-25.0,Pearson,0.527823,0.000378
OverlappingObjects,0116,SI,15.1-25.0,Cosine,0.455493,0.001011
OverlappingObjects,0116,SI,15.1-25.0,Pearson,0.450449,0.000297
OverlappingObjects,0117,SI,15.1-25.0,Cosine,0.595145,0.000761
OverlappingObjects,0117,SI,15.1-25.0,Pearson,0.592369,0.000290
OverlappingObjects,0118,SI,15.1-25.0,Cosine,0.544509,0.002859
OverlappingObjects,0118,SI,15.1-25.0,Pearson,0.535582,0.000529
OverlappingObjects,0119,SI,15.1-25.0,Cosine,0.116631,0.000468
OverlappingObjects,0119,SI,15.1-25.0,Pearson,0.105267,0.000191
OverlappingObjects,0120,SI,15.1-25.0,Cosine,0.718833,0.000728
OverlappingObjects,0120,SI,15.1-25.0,Pearson,0.717998,0.000290
OverlappingObjects,0121,SI,15.1-25.0,Cosine,0.427342,0.001054
OverlappingObjects,0121,SI,15.1-25.0,Pearson,0.423328,0.000420
OverlappingObjects,0122,SI,15.1-25.0,Cosine,0.471169,0.000564
OverlappingObjects,0122,SI,15.1-25.0,Pearson,0.464556,0.000211
OverlappingObjects,0123,SI,15.1-25.0,Cosine,0.698873,0.001521
OverlappingObjects,0123,SI,15.1-25.0,Pearson,0.696417,0.000470
OverlappingObjects,0124,SI,15.1-25.0,Cosine,0.473778,0.000626
OverlappingObjects,0124,SI,15.1-25.0,Pearson,0.471232,0.000250
OverlappingObjects,0125,SI,15.1-25.0,Cosine,0.616609,0.001646
OverlappingObjects,0125,SI,15.1-25.0,Pearson,0.613482,0.000511
OverlappingObjects,0126,SI,15.1-25.0,Cosine,0.431528,0.000297
OverlappingObjects,0126,SI,15.1-25.0,Pearson,0.426845,0.000192
OverlappingObjects,0127,SI,15.1-25.0,Cosine,0.424612,0.000355
OverlappingObjects,0127,SI,15.1-25.0,Pearson,0.417481,0.000190
OverlappingObjects,0128,SI,15.1-25.0,Cosine,0.418274,0.000429
OverlappingObjects,0128,SI,15.1-25.0,Pearson,0.413930,0.000213
OverlappingObjects,0129,SI,15.1-25.0,Cosine,0.591163,0.000799
OverlappingObjects,0129,SI,15.1-25.0,Pearson,0.586359,0.000270
OverlappingObjects,0130,SI,15.1-25.0,Cosine,0.717323,0.001647
OverlappingObjects,0130,SI,15.1-25.0,Pearson,0.714683,0.000495
OverlappingObjects,0131,SI,15.1-25.0,Cosine,0.711407,0.001368
OverlappingObjects,0131,SI,15.1-25.0,Pearson,0.708836,0.000423
OverlappingObjects,0132,SI,15.1-25.0,Cosine,0.689734,0.001407
OverlappingObjects,0132,SI,15.1-25.0,Pearson,0.686832,0.000415
OverlappingObjects,0133,SI,15.1-25.0,Cosine,0.675400,0.001369
OverlappingObjects,0133,SI,15.1-25.0,Pearson,0.672004,0.000426
OverlappingObjects,0134,SI,15.1-25.0,Cosine,0.734518,0.001139
OverlappingObjects,0134,SI,15.1-25.0,Pearson,0.732572,0.000385
OverlappingObjects,0135,SI,15.1-25.0,Cosine,0.613769,0.002623
OverlappingObjects,0135,SI,15.1-25.0,Pearson,0.609510,0.000630
OverlappingObjects,0136,SI,15.1-25.0,Cosine,0.581880,0.002477
OverlappingObjects,0136,SI,15.1-25.0,Pearson,0.577876,0.000633
OverlappingObjects,0137,SI,15.1-25.0,Cosine,0.437308,0.000316
OverlappingObjects,0137,SI,15.1-25.0,Pearson,0.432175,0.000161
OverlappingObjects,0138,SI,15.1-25.0,Cosine,0.780680,0.000666
OverlappingObjects,0138,SI,15.1-25.0,Pearson,0.779966,0.000290
OverlappingObjects,0139,SI,15.1-25.0,Cosine,0.694921,0.000514
OverlappingObjects,0139,SI,15.1-25.0,Pearson,0.693145,0.000247
OverlappingObjects,0140,SI,15.1-25.0,Cosine,0.673626,0.000972
OverlappingObjects,0140,SI,15.1-25.0,Pearson,0.670735,0.000327
OverlappingObjects,0141,SI,15.1-25.0,Cosine,0.648215,0.000484
OverlappingObjects,0141,SI,15.1-25.0,Pearson,0.646703,0.000218
OverlappingObjects,0142,SI,15.1-25.0,Cosine,0.674868,0.000448
OverlappingObjects,0142,SI,15.1-25.0,Pearson,0.673547,0.000237
OverlappingObjects,0143,SI,15.1-25.0,Cosine,0.656296,0.000522
OverlappingObjects,0143,SI,15.1-25.0,Pearson,0.654852,0.000261
OverlappingObjects,0144,SI,15.1-25.0,Cosine,0.646387,0.000518
OverlappingObjects,0144,SI,15.1-25.0,Pearson,0.644844,0.000221
OverlappingObjects,0145,SI,15.1-25.0,Cosine,0.447050,0.000466
OverlappingObjects,0145,SI,15.1-25.0,Pearson,0.443735,0.000210
OverlappingObjects,0146,SI,15.1-25.0,Cosine,0.576781,0.001472
OverlappingObjects,0146,SI,15.1-25.0,Pearson,0.571688,0.000386
OverlappingObjects,0147,SI,15.1-25.0,Cosine,0.438070,0.001664
OverlappingObjects,0147,SI,15.1-25.0,Pearson,0.429302,0.000380
OverlappingObjects,0148,SI,15.1-25.0,Cosine,0.604461,0.001550
OverlappingObjects,0148,SI,15.1-25.0,Pearson,0.599706,0.000394
OverlappingObjects,0149,SI,15.1-25.0,Cosine,0.413192,0.000783
OverlappingObjects,0149,SI,15.1-25.0,Pearson,0.408760,0.000295
OverlappingObjects,0150,SI,15.1-25.0,Cosine,0.565175,0.000340
OverlappingObjects,0150,SI,15.1-25.0,Pearson,0.562866,0.000218
OverlappingObjects,0151,SI,15.1-25.0,Cosine,0.663304,0.001022
OverlappingObjects,0151,SI,15.1-25.0,Pearson,0.660493,0.000335
OverlappingObjects,0152,SI,15.1-25.0,Cosine,0.566837,0.001286
OverlappingObjects,0152,SI,15.1-25.0,Pearson,0.564641,0.000438
OverlappingObjects,0153,SI,15.1-25.0,Cosine,0.554368,0.000326
OverlappingObjects,0153,SI,15.1-25.0,Pearson,0.551661,0.000210
OverlappingObjects,0154,SI,15.1-25.0,Cosine,0.631016,0.000551
OverlappingObjects,0154,SI,15.1-25.0,Pearson,0.628589,0.000244
OverlappingObjects,0155,SI,15.1-25.0,Cosine,0.486839,0.001080
OverlappingObjects,0155,SI,15.1-25.0,Pearson,0.481603,0.000332
OverlappingObjects,0156,SI,15.1-25.0,Cosine,0.699097,0.001570
OverlappingObjects,0156,SI,15.1-25.0,Pearson,0.696945,0.000497
OverlappingObjects,0157,SI,15.1-25.0,Cosine,0.654360,0.000738
OverlappingObjects,0157,SI,15.1-25.0,Pearson,0.652499,0.000320
OverlappingObjects,0158,SI,15.1-25.0,Cosine,0.680169,0.002568
OverlappingObjects,0158,SI,15.1-25.0,Pearson,0.676819,0.000661
OverlappingObjects,0159,SI,15.1-25.0,Cosine,0.685682,0.001250
OverlappingObjects,0159,SI,15.1-25.0,Pearson,0.683052,0.000373
OverlappingObjects,0160,SI,15.1-25.0,Cosine,0.654895,0.000595
OverlappingObjects,0160,SI,15.1-25.0,Pearson,0.651628,0.000246
OverlappingObjects,0161,SI,15.1-25.0,Cosine,0.606818,0.001286
OverlappingObjects,0161,SI,15.1-25.0,Pearson,0.603795,0.000446
OverlappingObjects,0162,SI,15.1-25.0,Cosine,0.679159,0.001286
OverlappingObjects,0162,SI,15.1-25.0,Pearson,0.676266,0.000421
OverlappingObjects,0163,SI,15.1-25.0,Cosine,0.658534,0.001976
OverlappingObjects,0163,SI,15.1-25.0,Pearson,0.654903,0.000524
OverlappingObjects,0164,SI,15.1-25.0,Cosine,0.708112,0.001580
OverlappingObjects,0164,SI,15.1-25.0,Pearson,0.705624,0.000479
OverlappingObjects,0165,SI,15.1-25.0,Cosine,0.645698,0.001313
OverlappingObjects,0165,SI,15.1-25.0,Pearson,0.641652,0.000368
OverlappingObjects,0166,SI,15.1-25.0,Cosine,0.567766,0.001107
OverlappingObjects,0166,SI,15.1-25.0,Pearson,0.564939,0.000361
OverlappingObjects,0167,SI,15.1-25.0,Cosine,0.721258,0.001142
OverlappingObjects,0167,SI,15.1-25.0,Pearson,0.719157,0.000379
OverlappingObjects,0168,SI,15.1-25.0,Cosine,0.620010,0.001335
OverlappingObjects,0168,SI,15.1-25.0,Pearson,0.616714,0.000444
OverlappingObjects,0169,SI,15.1-25.0,Cosine,0.730897,0.001119
OverlappingObjects,0169,SI,15.1-25.0,Pearson,0.728903,0.000379
OverlappingObjects,0170,SI,15.1-25.0,Cosine,0.635613,0.000963
OverlappingObjects,0170,SI,15.1-25.0,Pearson,0.632872,0.000335
OverlappingObjects,0171,SI,15.1-25.0,Cosine,0.722962,0.001390
OverlappingObjects,0171,SI,15.1-25.0,Pearson,0.720638,0.000439
OverlappingObjects,0172,SI,15.1-25.0,Cosine,0.639983,0.000935
OverlappingObjects,0172,SI,15.1-25.0,Pearson,0.636666,0.000294
OverlappingObjects,0173,SI,15.1-25.0,Cosine,0.524532,0.000339
OverlappingObjects,0173,SI,15.1-25.0,Pearson,0.521363,0.000186
OverlappingObjects,0174,SI,15.1-25.0,Cosine,0.437914,0.002705
OverlappingObjects,0174,SI,15.1-25.0,Pearson,0.429835,0.000568
OverlappingObjects,0175,SI,15.1-25.0,Cosine,0.679181,0.001682
OverlappingObjects,0175,SI,15.1-25.0,Pearson,0.675841,0.000519
OverlappingObjects,0176,SI,15.1-25.0,Cosine,0.526286,0.000336
OverlappingObjects,0176,SI,15.1-25.0,Pearson,0.523635,0.000171
OverlappingObjects,0177,SI,15.1-25.0,Cosine,0.610012,0.000459
OverlappingObjects,0177,SI,15.1-25.0,Pearson,0.606762,0.000217
OverlappingObjects,0178,SI,15.1-25.0,Cosine,0.445298,0.000459
OverlappingObjects,0178,SI,15.1-25.0,Pearson,0.441634,0.000204
OverlappingObjects,0179,SI,15.1-25.0,Cosine,0.716573,0.000435
OverlappingObjects,0179,SI,15.1-25.0,Pearson,0.715370,0.000218
OverlappingObjects,0180,SI,15.1-25.0,Cosine,0.515197,0.000419
OverlappingObjects,0180,SI,15.1-25.0,Pearson,0.512685,0.000221
OverlappingObjects,0181,SI,15.1-25.0,Cosine,0.440986,0.000461
OverlappingObjects,0181,SI,15.1-25.0,Pearson,0.437861,0.000213
OverlappingObjects,0182,SI,15.1-25.0,Cosine,0.480709,0.000436
