dataset,object,descriptor,category,time
RandomVertexDisplacedObjectsDataset,0050,QUICCI,0.0001,0.024949023
RandomVertexDisplacedObjectsDataset,0050,RICI,0.0001,0.024913263
RandomVertexDisplacedObjectsDataset,0050,SI,0.0001,0.186820595
RandomVertexDisplacedObjectsDataset,0051,3DSC,0.0001,0.303756497
RandomVertexDisplacedObjectsDataset,0051,FPFH,0.0001,1.13005133
RandomVertexDisplacedObjectsDataset,0051,QUICCI,0.0001,0.002162587
RandomVertexDisplacedObjectsDataset,0051,RICI,0.0001,0.002042227
RandomVertexDisplacedObjectsDataset,0051,SI,0.0001,0.04553954
RandomVertexDisplacedObjectsDataset,0052,3DSC,0.0001,0.489505914
RandomVertexDisplacedObjectsDataset,0052,FPFH,0.0001,2.858251875
RandomVertexDisplacedObjectsDataset,0052,QUICCI,0.0001,0.087664943
RandomVertexDisplacedObjectsDataset,0052,RICI,0.0001,0.081529161
RandomVertexDisplacedObjectsDataset,0052,SI,0.0001,0.442364315
RandomVertexDisplacedObjectsDataset,0053,3DSC,0.0001,0.364424111
RandomVertexDisplacedObjectsDataset,0053,FPFH,0.0001,5.296098981
RandomVertexDisplacedObjectsDataset,0053,QUICCI,0.0001,0.020030638
RandomVertexDisplacedObjectsDataset,0053,RICI,0.0001,0.019085729
RandomVertexDisplacedObjectsDataset,0053,SI,0.0001,0.124878963
RandomVertexDisplacedObjectsDataset,0054,3DSC,0.0001,1.200345473
RandomVertexDisplacedObjectsDataset,0054,FPFH,0.0001,0.925544734
RandomVertexDisplacedObjectsDataset,0054,QUICCI,0.0001,0.00959315
RandomVertexDisplacedObjectsDataset,0054,RICI,0.0001,0.00951067
RandomVertexDisplacedObjectsDataset,0054,SI,0.0001,0.033455143
RandomVertexDisplacedObjectsDataset,0055,3DSC,0.0001,1.534272457
RandomVertexDisplacedObjectsDataset,0055,FPFH,0.0001,3.466469198
RandomVertexDisplacedObjectsDataset,0055,QUICCI,0.0001,0.00885089
RandomVertexDisplacedObjectsDataset,0055,RICI,0.0001,0.008659881
RandomVertexDisplacedObjectsDataset,0055,SI,0.0001,0.074483638
RandomVertexDisplacedObjectsDataset,0056,3DSC,0.0001,1.269511477
RandomVertexDisplacedObjectsDataset,0056,FPFH,0.0001,1.028389113
RandomVertexDisplacedObjectsDataset,0056,QUICCI,0.0001,0.010228289
RandomVertexDisplacedObjectsDataset,0056,RICI,0.0001,0.010124449
RandomVertexDisplacedObjectsDataset,0056,SI,0.0001,0.042193454
RandomVertexDisplacedObjectsDataset,0057,3DSC,0.0001,1.776448172
RandomVertexDisplacedObjectsDataset,0057,FPFH,0.0001,2.542588031
RandomVertexDisplacedObjectsDataset,0057,QUICCI,0.0001,0.019105529
RandomVertexDisplacedObjectsDataset,0057,RICI,0.0001,0.018918919
RandomVertexDisplacedObjectsDataset,0057,SI,0.0001,0.06459425
RandomVertexDisplacedObjectsDataset,0058,3DSC,0.0001,1.822550601
RandomVertexDisplacedObjectsDataset,0058,FPFH,0.0001,1.821556192
RandomVertexDisplacedObjectsDataset,0058,QUICCI,0.0001,0.014465924
RandomVertexDisplacedObjectsDataset,0058,RICI,0.0001,0.021926576
RandomVertexDisplacedObjectsDataset,0058,SI,0.0001,0.092813138
RandomVertexDisplacedObjectsDataset,0059,3DSC,0.0001,0.370400484
RandomVertexDisplacedObjectsDataset,0059,FPFH,0.0001,3.373229411
RandomVertexDisplacedObjectsDataset,0059,QUICCI,0.0001,0.001656398
RandomVertexDisplacedObjectsDataset,0059,RICI,0.0001,0.001547989
RandomVertexDisplacedObjectsDataset,0059,SI,0.0001,0.032397124
RandomVertexDisplacedObjectsDataset,0060,3DSC,0.0001,1.23161559
RandomVertexDisplacedObjectsDataset,0060,FPFH,0.0001,1.092606292
RandomVertexDisplacedObjectsDataset,0060,QUICCI,0.0001,0.010798498
RandomVertexDisplacedObjectsDataset,0060,RICI,0.0001,0.010605569
RandomVertexDisplacedObjectsDataset,0060,SI,0.0001,0.073883479
RandomVertexDisplacedObjectsDataset,0061,3DSC,0.0001,1.645427215
RandomVertexDisplacedObjectsDataset,0061,FPFH,0.0001,1.132094719
RandomVertexDisplacedObjectsDataset,0061,QUICCI,0.0001,0.020668567
RandomVertexDisplacedObjectsDataset,0061,RICI,0.0001,0.021465076
RandomVertexDisplacedObjectsDataset,0061,SI,0.0001,0.11884727
RandomVertexDisplacedObjectsDataset,0062,3DSC,0.0001,1.968100612
RandomVertexDisplacedObjectsDataset,0062,FPFH,0.0001,2.113367102
RandomVertexDisplacedObjectsDataset,0062,QUICCI,0.0001,0.019164569
RandomVertexDisplacedObjectsDataset,0062,RICI,0.0001,0.01899695
RandomVertexDisplacedObjectsDataset,0062,SI,0.0001,0.078970663
RandomVertexDisplacedObjectsDataset,0063,3DSC,0.0001,1.863078077
RandomVertexDisplacedObjectsDataset,0063,FPFH,0.0001,2.805434893
RandomVertexDisplacedObjectsDataset,0063,QUICCI,0.0001,0.019738358
RandomVertexDisplacedObjectsDataset,0063,RICI,0.0001,0.019506438
RandomVertexDisplacedObjectsDataset,0063,SI,0.0001,0.106662613
RandomVertexDisplacedObjectsDataset,0064,3DSC,0.0001,0.423730945
RandomVertexDisplacedObjectsDataset,0064,FPFH,0.0001,2.22497452
RandomVertexDisplacedObjectsDataset,0064,QUICCI,0.0001,0.010190659
RandomVertexDisplacedObjectsDataset,0064,RICI,0.0001,0.010030399
RandomVertexDisplacedObjectsDataset,0064,SI,0.0001,0.025624762
RandomVertexDisplacedObjectsDataset,0065,3DSC,0.0001,1.584384372
RandomVertexDisplacedObjectsDataset,0065,FPFH,0.0001,2.01570675
RandomVertexDisplacedObjectsDataset,0065,QUICCI,0.0001,0.126767341
RandomVertexDisplacedObjectsDataset,0065,RICI,0.0001,0.125242453
RandomVertexDisplacedObjectsDataset,0065,SI,0.0001,0.460847685
RandomVertexDisplacedObjectsDataset,0066,3DSC,0.0001,0.512285208
RandomVertexDisplacedObjectsDataset,0066,FPFH,0.0001,3.705392446
RandomVertexDisplacedObjectsDataset,0066,QUICCI,0.0001,0.083238269
RandomVertexDisplacedObjectsDataset,0066,RICI,0.0001,0.097873103
RandomVertexDisplacedObjectsDataset,0066,SI,0.0001,0.283917069
RandomVertexDisplacedObjectsDataset,0067,3DSC,0.0001,0.44637087
RandomVertexDisplacedObjectsDataset,0067,FPFH,0.0001,2.714368823
RandomVertexDisplacedObjectsDataset,0067,QUICCI,0.0001,0.013393865
RandomVertexDisplacedObjectsDataset,0067,RICI,0.0001,0.013256385
RandomVertexDisplacedObjectsDataset,0067,SI,0.0001,0.10017971
RandomVertexDisplacedObjectsDataset,0068,3DSC,0.0001,0.639491528
RandomVertexDisplacedObjectsDataset,0068,FPFH,0.0001,3.029196738
RandomVertexDisplacedObjectsDataset,0068,QUICCI,0.0001,0.020747877
RandomVertexDisplacedObjectsDataset,0068,RICI,0.0001,0.017918631
RandomVertexDisplacedObjectsDataset,0068,SI,0.0001,0.186939965
RandomVertexDisplacedObjectsDataset,0069,3DSC,0.0001,0.372826121
RandomVertexDisplacedObjectsDataset,0069,FPFH,0.0001,4.21206649
RandomVertexDisplacedObjectsDataset,0069,QUICCI,0.0001,0.006342313
RandomVertexDisplacedObjectsDataset,0069,RICI,0.0001,0.005950643
RandomVertexDisplacedObjectsDataset,0069,SI,0.0001,0.064931739
RandomVertexDisplacedObjectsDataset,0070,3DSC,0.0001,0.652032325
RandomVertexDisplacedObjectsDataset,0070,FPFH,0.0001,1.166665041
