dataset,object,descriptor,category,time
OverlappingObjects,0040,3DSC,15.1-25.0,0.513507447
OverlappingObjects,0040,FPFH,15.1-25.0,2.101246376
OverlappingObjects,0040,QUICCI,15.1-25.0,0.03652704
OverlappingObjects,0040,RICI,15.1-25.0,0.035810121
OverlappingObjects,0040,SI,15.1-25.0,0.125959402
OverlappingObjects,0041,3DSC,15.1-25.0,0.539492748
OverlappingObjects,0041,FPFH,15.1-25.0,1.778581829
OverlappingObjects,0041,QUICCI,15.1-25.0,0.019753209
OverlappingObjects,0041,RICI,15.1-25.0,0.019168379
OverlappingObjects,0041,SI,15.1-25.0,0.105060135
OverlappingObjects,0042,3DSC,15.1-25.0,0.53745481
OverlappingObjects,0042,FPFH,15.1-25.0,2.326454428
OverlappingObjects,0042,QUICCI,15.1-25.0,0.053558372
OverlappingObjects,0042,RICI,15.1-25.0,0.052341673
OverlappingObjects,0042,SI,15.1-25.0,0.177717365
OverlappingObjects,0043,3DSC,15.1-25.0,0.378537775
OverlappingObjects,0043,FPFH,15.1-25.0,1.667337241
OverlappingObjects,0043,QUICCI,15.1-25.0,0.014567814
OverlappingObjects,0043,RICI,15.1-25.0,0.014006844
OverlappingObjects,0043,SI,15.1-25.0,0.100368779
OverlappingObjects,0044,3DSC,15.1-25.0,0.509581701
OverlappingObjects,0044,FPFH,15.1-25.0,1.884062024
OverlappingObjects,0044,QUICCI,15.1-25.0,0.023557114
OverlappingObjects,0044,RICI,15.1-25.0,0.023097814
OverlappingObjects,0044,SI,15.1-25.0,0.111094178
OverlappingObjects,0045,3DSC,15.1-25.0,0.606853385
OverlappingObjects,0045,FPFH,15.1-25.0,2.647089427
OverlappingObjects,0045,QUICCI,15.1-25.0,0.072181961
OverlappingObjects,0045,RICI,15.1-25.0,0.070669413
OverlappingObjects,0045,SI,15.1-25.0,0.19203724
OverlappingObjects,0046,3DSC,15.1-25.0,0.498021134
OverlappingObjects,0046,FPFH,15.1-25.0,1.672069576
OverlappingObjects,0046,QUICCI,15.1-25.0,0.017178422
